Operacja;Cmax;T;P
73800;11939;2.49697;4.04706e-18
73900;11940;2.48452;5.18998e-14
74000;11939;2.47212;6.26985e-08
74100;11932;2.45979;4.37513e-13
74200;11932;2.44753;1.20158e-07
74300;11932;2.43532;7.58845e-18
74400;11932;2.42317;2.09804e-10
74500;11932;2.41109;1.72199e-06
74600;11931;2.39906;2.59582e-12
74700;11933;2.38709;7.86345e-22
74800;11932;2.37519;2.03772e-10
74900;11930;2.36334;4.41675e-17
75000;11929;2.35155;1.92249e-23
75100;11918;2.33983;0.00908432
75200;11917;2.32816;4.98695e-27
75300;11915;2.31654;1
75400;11915;2.30499;2.45585e-23
75500;11914;2.29349;9.57418e-22
75600;11916;2.28205;8.19676e-11
75700;11918;2.27067;2.15269e-12
75800;11915;2.25935;7.80374e-18
75900;11915;2.24808;5.62255e-05
76000;11915;2.23686;6.0094e-20
76100;11916;2.22571;1.40025e-06
76200;11916;2.21461;4.02835e-21
76300;11919;2.20356;3.40424e-23
76400;11921;2.19257;8.26791e-13
76500;11921;2.18163;2.9694e-16
76600;11921;2.17075;2.48408e-15
76700;11925;2.15993;7.7223e-22
76800;11911;2.14915;1.22418e-11
76900;11905;2.13843;1.7228e-11
77000;11900;2.12777;8.65153e-14
77100;11888;2.11716;1
77200;11888;2.1066;1.90422e-11
77300;11887;2.09609;3.77595e-07
77400;11885;2.08564;6.84501e-05
77500;11881;2.07523;2.63569e-18
77600;11872;2.06488;1
77700;11872;2.05458;6.38661e-23
77800;11873;2.04434;1.46442e-11
77900;11873;2.03414;5.48471e-27
78000;11873;2.02399;1.10843e-20
78100;11877;2.0139;1
78200;11877;2.00385;2.48582e-16
78300;11877;1.99386;3.27742e-26
78400;11877;1.98392;7.95081e-09
78500;11877;1.97402;8.31138e-15
78600;11877;1.96417;5.54056e-16
78700;11877;1.95438;2.78489e-14
78800;11877;1.94463;2.17258e-22
78900;11877;1.93493;5.99127e-12
79000;11877;1.92528;7.70007e-16
79100;11877;1.91568;1.72297e-22
79200;11877;1.90612;9.17148e-16
79300;11877;1.89662;8.40829e-11
79400;11877;1.88716;6.35357e-13
79500;11884;1.87774;4.94147
79600;11881;1.86838;9.83692e-34
79700;11881;1.85906;5.72922e-08
79800;11881;1.84979;2.46285e-18
79900;11881;1.84056;3.74087e-06
80000;11881;1.83138;1.14855e-15
80100;11881;1.82225;8.87982e-05
80200;11881;1.81316;0.000443268
80300;11881;1.80411;1.0447e-07
80400;11881;1.79512;8.0065e-13
80500;11881;1.78616;1.16381e-29
80600;11879;1.77725;3.63123e-14
80700;11879;1.76839;8.21807e-24
80800;11879;1.75957;6.11401e-23
80900;11879;1.75079;2.27473e-14
81000;11880;1.74206;6.04693e-12
81100;11880;1.73337;2.76579e-27
81200;11879;1.72473;2.32512e-19
81300;11879;1.71612;1.0179e-20
81400;11881;1.70757;1.77231e-15
81500;11880;1.69905;6.08603e-22
81600;11865;1.69057;1.69094e-29
81700;11865;1.68214;9.04891e-26
81800;11865;1.67375;4.4995e-17
81900;11864;1.6654;2.76651e-20
82000;11866;1.6571;7.7359e-25
82100;11866;1.64883;1.24062e-13
82200;11870;1.64061;8.70642e-38
82300;11870;1.63243;2.01141e-16
82400;11870;1.62428;8.22031e-33
82500;11868;1.61618;3.18203e-22
82600;11868;1.60812;1.80336e-17
